Class,Genus,Network
Arthropoda,Calocalanus,1m
RAD-A,RAD-A_Xb_X,1m
Dinophyceae,Gyrodinium,1m
Dinophyceae,Unknown Gymnodiniales (Order),1m
Dinophyceae,Gyrodinium,1m
RAD-A,RAD-A_Xb_X,1m
Dinophyceae,Gymnodinium,1m
Dinophyceae,Unknown Dinophyceae (Class),1m
Dinophyceae,Unknown Dinophyceae (Class),1m
Dinophyceae,Prorocentrum,1m
Dinophyceae,Prorocentrum,1m
Dinophyceae,Dinophyceae_XXX,1m
Dinophyceae,Warnowia,1m
Dinophyceae,Heterocapsa,1m
Dinophyceae,Warnowia,1m
Dinophyceae,Warnowia,1m
Arthropoda,Paracalanus,1m
Arthropoda,Paracalanus,1m
Dinophyceae,Gyrodinium,1m
Dinophyceae,Prorocentrum,1m
Arthropoda,Maxillopoda_X,40m
Arthropoda,Mecynocera,40m
Dinophyceae,Gymnodinium,40m
Arthropoda,Triconia,40m
Arthropoda,Calocalanus,40m
RAD-A,RAD-A_Xb_X,40m
Dinophyceae,Unknown Dinophyceae (Class),40m
Dinophyceae,Unknown Dinophyceae (Class),40m
Arthropoda,Clausocalanus,40m
Dinophyceae,Lepidodinium,40m
Dinophyceae,Prorocentrum,40m
Dinophyceae,Gyrodinium,40m
Dinophyceae,Gyrodinium,40m
Dinophyceae,Gyrodinium,40m
RAD-A,RAD-A_Xb_X,40m
RAD-A,RAD-A_Xb_X,40m
RAD-A,RAD-A_Xb_X,40m
Dinophyceae,Azadinium,40m
Dinophyceae,Blastodinium,40m
Arthropoda,Pleuromamma,40m
Arthropoda,Ditrichocorycaeus,40m
Arthropoda,Calocalanus,40m
Dinophyceae,Warnowia,40m
Dinophyceae,Warnowia,40m
Dinophyceae,Warnowia,40m
Arthropoda,Calocalanus,40m
Arthropoda,Paracalanus,40m
Arthropoda,Calocalanus,40m
Dinophyceae,Prorocentrum,40m
Arthropoda,Mecynocera,80m
Arthropoda,Calocalanus,80m
Dinophyceae,Unknown Dinophyceae (Class),80m
RAD-A,RAD-A_Xg_X,80m
Dinophyceae,Lepidodinium,80m
Dinophyceae,Lepidodinium,80m
Dinophyceae,Unknown Dinophyceae (Class),80m
Dinophyceae,Gyrodinium,80m
Arthropoda,Unknown Maxillopoda (Family),80m
Arthropoda,Calocalanus,80m
Dinophyceae,Gyrodinium,80m
RAD-B,RAD-B_X_Group-II_X,80m
Dinophyceae,Unknown Dinophyceae (Class),80m
Dinophyceae,Unknown Dinophyceae (Class),80m
Dinophyceae,Unknown Dinophyceae (Class),80m
Arthropoda,Paracalanus,80m
Dinophyceae,Prorocentrum,120m
Dinophyceae,Unknown Dinophyceae (Class),120m
RAD-A,RAD-A_Xg_X,120m
RAD-B,RAD-B_X_Group-IVe_X,120m
Arthropoda,Clausocalanus,120m
Dinophyceae,Prorocentrum,120m
Dinophyceae,Gyrodinium,120m
Arthropoda,Calocalanus,120m
RAD-B,RAD-B_X_Group-IV_XX,120m
Dinophyceae,Dinophyceae_XXX,120m
Polycystinea,Cladococcus,120m
RAD-A,RAD-A_Xc_X,120m
RAD-A,RAD-A_Xc_X,120m
RAD-A,RAD-A_Xc_X,120m
RAD-B,RAD-B_X_Group-II_X,120m
RAD-B,RAD-B_X_Group-II_X,120m
RAD-A,RAD-A_Xb_X,120m
Dinophyceae,Warnowia,120m
Dinophyceae,Warnowia,120m
Dinophyceae,Warnowia,120m
Dinophyceae,Unknown Dinophyceae (Class),120m
Dinophyceae,Unknown Dinophyceae (Class),120m
Dinophyceae,Prorocentrum,120m
Dinophyceae,Prorocentrum,120m
Dinophyceae,Unknown Dinophyceae (Class),160m
Polycystinea,Cladococcus,160m
Polycystinea,Heliosphaera,160m
RAD-B,Sticholonche,160m
RAD-B,Sticholonche,160m
Polycystinea,Liosphaeroidea_XX,160m
RAD-B,Sticholonche,160m
RAD-B,RAD-B_X_Group-III_X,160m
RAD-B,Sticholonche,160m
RAD-B,RAD-B_X_Group-Ie_X,160m
RAD-B,RAD-B_X_Group-Ie_X,160m
RAD-B,RAD-B_X_Group-Ie_X,160m
RAD-B,RAD-B_X_Group-IV_XX,160m
Arthropoda,Sapphirina,160m
Arthropoda,Sapphirina,160m
Arthropoda,Sapphirina,160m
RAD-B,RAD-B_X_Group-II_X,160m
RAD-B,RAD-B_X_Group-II_X,160m
RAD-B,RAD-B_X_Group-II_X,160m
RAD-B,RAD-B_X_Group-II_X,160m
Dinophyceae,Unknown Dinophyceae (Class),160m
Arthropoda,Calocalanus,160m
Arthropoda,Calocalanus,160m
RAD-B,RAD-B_X_Group-IV_XX,160m
Dinophyceae,Gyrodinium,160m
Dinophyceae,Gyrodinium,160m
Arthropoda,Triconia,160m
RAD-B,RAD-B_X_Group-IVe_X,160m
Polycystinea,Liosphaeroidea_XX,200m
Polycystinea,Liosphaeroidea_XX,200m
Polycystinea,Heliosphaera,200m
Arthropoda,Calocalanus,200m
Acantharea,Acanthoplegma,200m
RAD-A,RAD-A_Xc_X,200m
RAD-B,Sticholonche,200m
RAD-B,Sticholonche,200m
Polycystinea,Nassellaria_2_X,200m
Polycystinea,Nassellaria_2_X,200m
RAD-A,RAD-A_Xb_X,200m
RAD-A,RAD-A_Xb_X,200m
Acantharea,Acanthochiasma,200m
Dinophyceae,Unknown Dinophyceae (Class),200m
Polycystinea,Heliosphaera,200m
RAD-B,RAD-B_X_Group-Ib_X,200m
RAD-B,RAD-B_X_Group-Ib_X,200m
RAD-B,RAD-B_X_Group-Ib_X,200m
RAD-B,RAD-B_X_Group-Ib_X,200m
RAD-A,RAD-A_Xc_X,200m
Arthropoda,Triconia,200m
Arthropoda,Triconia,200m
Arthropoda,Triconia,200m
Polycystinea,Astrosphaeridae_X,200m
Acantharea,Acantharea_1_XX,200m
RAD-B,RAD-B_X_Group-II_X,200m
RAD-B,RAD-B_X_Group-II_X,200m
RAD-B,RAD-B_X_Group-II_X,200m
RAD-B,RAD-B_X_Group-II_X,200m
Polycystinea,Astrosphaeridae_X,200m
Dinophyceae,Unknown Dinophyceae (Class),200m
Dinophyceae,Gymnodinium,200m
RAD-B,RAD-B_X_Group-IV_XX,200m
RAD-B,RAD-B_X_Group-IV_XX,200m
Acantharea,Acanthoplegma,250m
Acantharea,Acanthoplegma,250m
Dinophyceae,Prorocentrum,250m
Acantharea,Acanthoplegma,250m
Polycystinea,Cladococcus,250m
Polycystinea,Liosphaeroidea_XX,250m
Acantharea,Acantharea_1_XX,250m
Acantharea,Acantharea_1_XX,250m
Polycystinea,Unknown Astrosphaeridae (Family),250m
Dinophyceae,Gymnodinium,250m
Arthropoda,Clausocalanus,250m
RAD-B,RAD-B_X_Group-III_X,250m
RAD-B,RAD-B_X_Group-III_X,250m
RAD-B,RAD-B_X_Group-III_X,250m
RAD-B,RAD-B_X_Group-III_X,250m
RAD-B,RAD-B_X_Group-III_X,250m
Dinophyceae,Prorocentrum,250m
Dinophyceae,Prorocentrum,250m
RAD-A,RAD-A_Xg_X,250m
RAD-A,RAD-A_Xg_X,250m
RAD-A,RAD-A_Xg_X,250m
RAD-B,RAD-B_X_Group-Ie_X,250m
RAD-B,RAD-B_X_Group-Ie_X,250m
RAD-A,RAD-A_Xd_X,250m
Dinophyceae,Chytriodinium,250m
RAD-B,RAD-B_X_Group-IV_XX,250m
RAD-B,RAD-B_X_Group-Ib_X,250m
RAD-B,RAD-B_X_Group-Ib_X,250m
Acantharea,Unknown Acantharea_C3 (Family),250m
Acantharea,Unknown Acantharea_C3 (Family),250m
RAD-A,RAD-A_Xb_X,250m
RAD-A,RAD-A_Xb_X,250m
Acantharea,Acantharea_1_XX,250m
RAD-B,RAD-B_X_Group-II_X,250m
RAD-B,RAD-B_X_Group-II_X,250m
Polycystinea,Heliosphaera,250m
Polycystinea,Heliosphaera,250m
Acantharea,Heteracon_C3,250m
RAD-B,RAD-B_X_Group-IV_XX,250m
Polycystinea,Spumellaria_1_X,250m
Polycystinea,Spumellaria_1_X,250m
Polycystinea,Spumellaria_1_X,250m
Dinophyceae,Gymnodinium,250m
Dinophyceae,Gymnodinium,250m
Dinophyceae,Gymnodinium,250m
Dinophyceae,Gymnodinium,250m
Acantharea,Acantharea_1_XX,250m
Polycystinea,Peromelissa,250m
Acantharea,Acantharea_1_XX,300m
Acantharea,Acantharea_1_XX,300m
Acantharea,Litholophus,300m
RAD-A,RAD-A_Xb_X,300m
RAD-B,RAD-B_X_Group-Ie_X,300m
RAD-B,RAD-B_X_Group-Ie_X,300m
RAD-B,RAD-B_X_Group-Ie_X,300m
RAD-B,RAD-B_X_Group-Ie_X,300m
RAD-B,RAD-B_X_Group-Ie_X,300m
Polycystinea,Heliosphaera,300m
RAD-B,RAD-B_X_Group-IV_XX,300m
RAD-B,RAD-B_X_Group-Ib_X,300m
RAD-B,RAD-B_X_Group-Ib_X,300m
RAD-B,RAD-B_X_Group-Ib_X,300m
RAD-B,RAD-B_X_Group-Ib_X,300m
RAD-B,RAD-B_X_Group-Ib_X,300m
RAD-B,RAD-B_X_Group-Ib_X,300m
RAD-B,RAD-B_X_Group-Ib_X,300m
RAD-B,RAD-B_X_Group-II_X,300m
RAD-B,RAD-B_X_Group-II_X,300m
RAD-B,RAD-B_X_Group-II_X,300m
RAD-B,RAD-B_X_Group-II_X,300m
Polycystinea,Heliosphaera,300m
Polycystinea,Heliosphaera,300m
Polycystinea,Heliosphaera,300m
Polycystinea,Heliosphaera,300m
Polycystinea,Heliosphaera,300m
RAD-B,RAD-B_X_Group-IV_XX,300m
RAD-B,RAD-B_X_Group-IV_XX,300m
RAD-B,RAD-B_X_Group-IV_XX,300m
Polycystinea,Cladococcus,300m
Polycystinea,Cladococcus,300m
Dinophyceae,Gymnodinium,300m
Dinophyceae,Gymnodinium,300m
Dinophyceae,Gymnodinium,300m
RAD-B,RAD-B_X_Group-IV_XX,300m
Acantharea,Acantharea_1_XX,300m
Dinophyceae,Gymnodinium,300m
Polycystinea,Peromelissa,300m
Polycystinea,Liosphaeroidea_XX,500m
Polycystinea,Unknown Spumellaria (Order),500m
Acantharea,Acantharea_1_XX,500m
Acantharea,Acantharea_1_XX,500m
Polycystinea,Amphispyris,500m
Arthropoda,Spinocalanus,500m
RAD-B,RAD-B_X_Group-IV_XX,500m
RAD-B,RAD-B_X_Group-IV_XX,500m
RAD-B,RAD-B_X_Group-IV_XX,500m
Acantharea,Acantharea_1_XX,500m
Arthropoda,Nullosetigera,500m
Polycystinea,Unknown Astrosphaeridae (Family),500m
Polycystinea,Unknown Astrosphaeridae (Family),500m
Acantharea,Unknown Acantharea_C3 (Family),500m
Acantharea,Unknown Acantharea_C3 (Family),500m
RAD-B,RAD-B_X_Group-IVa_X,500m
Arthropoda,Copilia,500m
Acantharea,Acantharea_1_XX,500m
RAD-B,RAD-B_X_Group-Ia_X,500m
Acantharea,Acantharea_1_XX,500m
RAD-B,RAD-B_X_Group-Ib_X,500m
RAD-B,RAD-B_X_Group-Ia_X,500m
RAD-B,RAD-B_X_Group-Ia_X,500m
RAD-B,RAD-B_X_Group-Ia_X,500m
RAD-B,RAD-B_X_Group-Ia_X,500m
RAD-B,RAD-B_X_Group-II_X,500m
RAD-B,RAD-B_X_Group-II_X,500m
RAD-B,RAD-B_X_Group-II_X,500m
RAD-B,RAD-B_X_Group-II_X,500m
Polycystinea,Heliosphaera,500m
RAD-B,RAD-B_X_Group-III_X,500m
RAD-B,RAD-B_X_Group-III_X,500m
Polycystinea,Heliosphaera,500m
RAD-B,RAD-B_X_Group-IV_XX,500m
RAD-B,RAD-B_X_Group-IV_XX,500m
Polycystinea,Cladococcus,500m
Polycystinea,Heliosphaera,600m
Acantharea,Acantharea_1_XX,600m
Polycystinea,Liosphaeroidea_XX,600m
Dinophyceae,Chytriodinium,600m
Dinophyceae,Prorocentrum,600m
Acantharea,Litholophus,600m
Polycystinea,Heliosphaera,600m
Arthropoda,Oncaea,600m
RAD-B,RAD-B_X_Group-Ib_X,600m
RAD-B,RAD-B_X_Group-Ib_X,600m
RAD-B,RAD-B_X_Group-Ib_X,600m
RAD-B,RAD-B_X_Group-Ib_X,600m
Polycystinea,Unknown Astrosphaeridae (Family),600m
RAD-B,RAD-B_X_Group-III_X,600m
RAD-B,RAD-B_X_Group-III_X,600m
RAD-B,RAD-B_X_Group-III_X,600m
RAD-B,RAD-B_X_Group-III_X,600m
RAD-B,RAD-B_X_Group-IVa_X,600m
RAD-B,RAD-B_X_Group-Ib_X,600m
RAD-B,RAD-B_X_Group-Ib_X,600m
RAD-B,RAD-B_X_Group-Ib_X,600m
Polycystinea,Heliosphaera,600m
RAD-B,RAD-B_X_Group-Ib_X,600m
Dinophyceae,Unknown Gymnodiniales (Order),600m
RAD-B,RAD-B_X_Group-Ia_X,600m
RAD-B,RAD-B_X_Group-Ia_X,600m
RAD-B,RAD-B_X_Group-Ia_X,600m
RAD-B,RAD-B_X_Group-II_X,600m
RAD-B,RAD-B_X_Group-IV_XX,600m
RAD-B,RAD-B_X_Group-IV_XX,600m
RAD-B,RAD-B_X_Group-IV_XX,600m
RAD-B,RAD-B_X_Group-IV_XX,600m
RAD-B,RAD-B_X_Group-IVc_X,600m
RAD-B,RAD-B_X_Group-IVc_X,600m
RAD-B,RAD-B_X_Group-IVc_X,600m
Polycystinea,Cladococcus,600m
RAD-B,RAD-B_X_Group-IV_XX,600m
Polycystinea,Unknown Nassellaria (Order),600m
Polycystinea,Heliosphaera,800m
Polycystinea,Heliosphaera,800m
Polycystinea,Heliosphaera,800m
Polycystinea,Heliosphaera,800m
Dinophyceae,Gyrodinium,800m
Acantharea,Acantharea_1_XX,800m
Acantharea,Acantharea_1_XX,800m
Acantharea,Acantharea_1_XX,800m
Polycystinea,Heliosphaera,800m
RAD-B,RAD-B_X_Group-II_X,800m
RAD-B,RAD-B_X_Group-II_X,800m
RAD-B,RAD-B_X_Group-II_X,800m
RAD-B,RAD-B_X_Group-II_X,800m
RAD-B,RAD-B_X_Group-IV_XX,800m
Dinophyceae,Unknown Dinophyceae (Class),800m
RAD-B,RAD-B_X_Group-Ib_X,800m
Acantharea,Acantharea_1_XX,800m
Acantharea,Acantharea_1_XX,800m
Dinophyceae,Chytriodinium,800m
Dinophyceae,Chytriodinium,800m
RAD-B,RAD-B_X_Group-IVa_X,800m
RAD-B,RAD-B_X_Group-IVa_X,800m
RAD-B,RAD-B_X_Group-IVa_X,800m
RAD-B,RAD-B_X_Group-IVa_X,800m
Acantharea,Acantharea_1_XX,800m
RAD-B,RAD-B_X_Group-Ib_X,800m
RAD-B,RAD-B_X_Group-Ib_X,800m
RAD-B,RAD-B_X_Group-Ib_X,800m
