Network,Class,Degree
1,Dinophyceae,2
1,Arthropoda,2
1,Dinophyceae,6
1,Dinophyceae,8
1,Dinophyceae,8
1,Dinophyceae,3
1,Dinophyceae,3
1,RAD-A,4
1,Dinophyceae,6
1,Dinophyceae,7
1,Dinophyceae,8
1,Arthropoda,2
1,Dinophyceae,3
1,Dinophyceae,2
1,Dinophyceae,2
1,Arthropoda,4
1,RAD-A,2
1,Dinophyceae,2
1,Dinophyceae,2
1,Dinophyceae,5
1,Dinophyceae,2
1,Dinophyceae,7
1,Dinophyceae,4
1,Dinophyceae,5
1,Dinophyceae,11
1,Dinophyceae,1
1,Dinophyceae,3
40,Dinophyceae,1
40,Dinophyceae,1
40,Dinophyceae,8
40,Arthropoda,1
40,Arthropoda,4
40,RAD-A,2
40,Arthropoda,2
40,Dinophyceae,12
40,Arthropoda,1
40,Arthropoda,3
40,RAD-A,4
40,Arthropoda,3
40,Dinophyceae,3
40,Dinophyceae,6
40,Arthropoda,5
40,Dinophyceae,6
40,Dinophyceae,3
40,Dinophyceae,6
40,Dinophyceae,4
40,Dinophyceae,5
40,Dinophyceae,8
40,Dinophyceae,5
40,Arthropoda,5
40,Arthropoda,1
40,Dinophyceae,9
40,Arthropoda,2
40,Arthropoda,3
40,Dinophyceae,3
40,Dinophyceae,4
40,Arthropoda,2
40,Arthropoda,3
40,Dinophyceae,7
40,Dinophyceae,7
40,Arthropoda,3
40,Dinophyceae,3
40,Arthropoda,1
40,Dinophyceae,6
40,Dinophyceae,1
40,Dinophyceae,5
40,Dinophyceae,2
80,Arthropoda,2
80,Arthropoda,2
80,Arthropoda,1
80,Arthropoda,2
80,Arthropoda,1
80,Dinophyceae,3
80,Dinophyceae,4
80,Dinophyceae,1
80,Dinophyceae,6
80,Dinophyceae,5
80,Dinophyceae,3
80,Dinophyceae,3
80,Dinophyceae,9
80,Dinophyceae,2
80,RAD-A,1
80,Dinophyceae,4
80,Dinophyceae,1
80,Dinophyceae,4
80,RAD-A,2
80,Arthropoda,2
80,Dinophyceae,6
80,Dinophyceae,6
80,RAD-B,2
80,Arthropoda,3
80,RAD-A,2
80,Arthropoda,3
80,RAD-A,3
120,Dinophyceae,1
120,Polycystinea,6
120,Arthropoda,4
120,Dinophyceae,1
120,RAD-B,3
120,Dinophyceae,6
120,Acantharea,5
120,RAD-A,10
120,Arthropoda,3
120,Dinophyceae,3
120,Dinophyceae,1
120,Dinophyceae,8
120,Arthropoda,5
120,Dinophyceae,2
120,RAD-B,3
120,RAD-A,5
120,Dinophyceae,9
120,Dinophyceae,4
120,Arthropoda,1
120,Dinophyceae,5
120,RAD-B,4
120,Dinophyceae,3
120,RAD-B,3
120,Dinophyceae,6
120,RAD-A,3
120,RAD-B,4
120,Arthropoda,3
120,Dinophyceae,3
120,RAD-B,6
120,Dinophyceae,8
120,RAD-A,9
120,Dinophyceae,4
160,Polycystinea,1
160,Dinophyceae,5
160,RAD-A,7
160,Dinophyceae,3
160,Arthropoda,3
160,RAD-B,3
160,Dinophyceae,4
160,RAD-A,5
160,Dinophyceae,4
160,RAD-B,5
160,Dinophyceae,5
160,RAD-A,4
160,RAD-B,4
160,Polycystinea,4
160,Arthropoda,6
160,RAD-A,6
160,Acantharea,5
160,RAD-B,4
160,Dinophyceae,4
160,Dinophyceae,4
160,Arthropoda,5
160,RAD-B,4
160,RAD-B,5
160,Polycystinea,3
160,RAD-B,3
160,RAD-B,4
160,Arthropoda,4
160,Polycystinea,9
160,RAD-B,4
160,RAD-B,3
160,Polycystinea,4
160,RAD-B,12
200,Dinophyceae,3
200,RAD-B,4
200,RAD-B,10
200,Polycystinea,5
200,Polycystinea,2
200,Acantharea,2
200,RAD-A,3
200,RAD-B,6
200,Dinophyceae,3
200,Acantharea,3
200,Polycystinea,3
200,Dinophyceae,1
200,RAD-B,3
200,Polycystinea,1
200,Polycystinea,6
200,Acantharea,2
200,Arthropoda,5
200,Dinophyceae,3
200,Dinophyceae,3
200,RAD-A,5
200,Dinophyceae,5
200,Acantharea,3
200,RAD-A,4
200,Arthropoda,6
200,Polycystinea,4
200,Arthropoda,2
200,Polycystinea,6
200,RAD-B,5
200,RAD-A,5
200,Polycystinea,6
200,Dinophyceae,2
200,Polycystinea,5
200,RAD-B,3
200,RAD-B,5
200,Dinophyceae,1
200,RAD-A,2
200,Polycystinea,1
200,Dinophyceae,7
200,Dinophyceae,3
250,RAD-B,14
250,Acantharea,4
250,Dinophyceae,4
250,RAD-B,3
250,RAD-B,4
250,Arthropoda,2
250,Dinophyceae,4
250,Arthropoda,2
250,Arthropoda,2
250,RAD-A,2
250,Dinophyceae,3
250,RAD-A,4
250,Dinophyceae,6
250,Polycystinea,2
250,Polycystinea,3
250,Polycystinea,4
250,Acantharea,3
