sample_name	Program	Cruise	RVAE_ID	Cast	Niskin	Year	Month	yyyymmdd	decy	time(UTC)	latN	lonW	Depth	Nominal_Depth	Temp	CTD_S	CO2	Alk	NO3	NO2	PO4	SiO4	POC	PON	TOC	TN	Bact	oxygen	Sunrise	Sunset	MLD_dens125	DCM	Season	vert_bin
10321_1	BATS	10321	AE1602	3	1	2016	3/8/16	20160308	2016.18514	1817	31.679	64.18	4.4	1	21.124	36.693	2077.5	2406.6	0	0.02	0	0	NA	NA	64.7	4.1	7.7	NA	1040	2216	118.1404	108.2149	Winter	Photic
10321_2	BATS	10321	AE1602	3	4	2016	3/8/16	20160308	2016.18514	1817	31.679	64.18	40.4	40	21.142	36.693	2077.8	2399.9	0	0.02	0	0	NA	NA	70.2	3.4	6.3	NA	1040	2216	118.1404	108.2149	Winter	Photic
10321_3	BATS	10321	AE1602	3	6	2016	3/8/16	20160308	2016.18514	1817	31.679	64.18	81.7	80	21.124	36.687	2080.4	2402.5	0	0	NA	0	NA	NA	70.3	3.7	6.2	NA	1040	2216	118.1404	108.2149	Winter	Photic
10321_4	BATS	10321	AE1602	3	8	2016	3/8/16	20160308	2016.18514	1817	31.679	64.18	120.2	120	20.482	36.62	2101.6	2402.4	1.05	0.02	0.03	0	NA	NA	59.2	4.7	5.4	NA	1040	2216	118.1404	108.2149	Winter	Photic
10321_5	BATS	10321	AE1602	3	10	2016	3/8/16	20160308	2016.18514	1817	31.679	64.18	159.2	160	19.478	36.59	2104.8	2397.7	2.03	0.02	0.04	0.23	NA	NA	57.1	4.6	2.9	NA	1040	2216	118.1404	108.2149	Winter	Aphotic
10321_6	BATS	10321	AE1602	3	11	2016	3/8/16	20160308	2016.18514	1817	31.679	64.18	198.9	200	19.102	36.569	2109.6	2395.7	3.03	0.02	0.06	0.4	NA	NA	53.8	5.6	2.4	NA	1040	2216	118.1404	108.2149	Winter	Aphotic
10321_7	BATS	10321	AE1602	3	12	2016	3/8/16	20160308	2016.18514	1817	31.679	64.18	248	250	18.732	36.57	2110.7	2399.1	3.9	0.029	0.1	0.51	NA	NA	55	6	2	NA	1040	2216	118.1404	108.2149	Winter	Aphotic
10321_8	BATS	10321	AE1602	3	13	2016	3/8/16	20160308	2016.18514	1817	31.679	64.18	298.6	300	18.431	36.55	2117.6	2395.4	5.12	0	0.15	0.76	NA	NA	52.9	6.4	1.6	NA	1040	2216	118.1404	108.2149	Winter	Aphotic
10321_9	BATS	10321	AE1602	3	15	2016	3/8/16	20160308	2016.18514	1817	31.679	64.18	499.4	500	16.739	36.306	2132	2379.3	9.68	0	0.4	1.97	NA	NA	47.7	8.9	1	NA	1040	2216	118.1404	108.2149	Winter	Aphotic
10321_10	BATS	10321	AE1602	3	16	2016	3/8/16	20160308	2016.18514	1817	31.679	64.18	600.3	600	14.981	36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1040	2216	118.1404	108.2149	Winter	Aphotic
